Symbol	28iALS_1	28iALS_2	29iALS_1	29iALS_2	30iALS_1	52iALS_1	52iALS_2	00iCTR_1	00iCTR_2	25iCTR_1_A	25iCTR_1_B	25iCTR_2	83iCTR_1	83iCTR_2
TPBG	536.82	600.19	2035.12	1677.97	1524.25	1227.96	638.84	558.83	613.38	2004.38	2046.56	2259.41	882.79	1052.37
FHL1	1690.69	1691.58	4145.46	3924.9	10684.1	8850.69	4901.47	4201.54	3898.61	25148.4	25714.8	38810.7	7745.4	6537.51
FHL3	326.41	296.38	1301.57	1205.1	762.1	460.75	521.81	997.52	915.59	300.85	319.8	208.57	111.14	101.57
MOGS	2900.6	4012.51	5870.78	8598.67	4967.99	6676.35	4109.77	3481.54	3295.6	3484.49	3290.2	4381.05	2457.98	2773.12
ALCAM	600.85	749.79	517.86	814.13	425.28	1177.99	583.43	712.14	942.4	1287.46	1039.1	845.61	287.25	688.84
THOC5	0.0	45.87	0.0	0.0	0.0	0.0	0.0	69.47	0.0	50.75	0.0	32.11	33.36	21.58
SPTAN1	24946.4	35906.1	62293.8	61110.3	60911.7	63044.7	34715.7	67386.3	58740.8	142004.0	141263.0	161501.0	61838.6	55329.1
DDX39B	2284.79	3631.82	10285.6	10181.7	9135.98	4692.55	1965.94	9420.6	8540.47	19617.6	18215.6	26418.0	17659.7	14525.3
BLMH	343.03	885.9	998.24	772.15	957.73	769.83	282.15	663.67	429.17	1379.42	1264.94	1840.83	1667.27	2026.55
EXOSC2	522.89	876.63	1251.33	1233.78	1119.34	533.02	254.72	1304.73	1035.02	1413.93	1216.79	1589.2	922.97	952.31
TUBB2A	6595.44	10202.5	7971.69	7556.77	1217.26	3263.44	1676.38	12233.5	2352.94	25042.5	25787.5	29526.9	21162.8	0.0
BYSL	91.98	96.97	1202.45	1273.53	1063.45	679.5	85.87	967.89	803.36	1144.24	1783.53	2041.29	1211.6	1033.4
IDI1	307.85	343.38	703.0	467.38	535.17	537.48	246.21	614.87	594.22	1061.18	1213.55	1165.64	604.34	561.32
CBFB	0.0	0.0	93.23	97.83	0.0	73.41	15.52	0.0	37.23	79.35	64.93	72.11	44.83	51.48
NFYC	0.0	0.0	80.15	0.0	150.87	112.42	0.0	259.17	178.65	273.35	262.92	441.46	261.48	296.38
CKAP5	1996.47	2395.16	4118.88	3578.24	4220.46	2540.35	1987.54	4025.21	3229.76	7782.81	7558.33	8270.08	6415.25	6053.07
CIRBP	9556.09	12276.2	9963.06	11509.3	13001.3	8956.92	6730.58	6078.95	3747.71	24268.1	23962.0	17905.1	13425.2	12593.1
COTL1	11548.3	22407.9	35181.0	32343.8	57899.1	21971.7	12339.4	21314.2	15516.7	51355.4	53115.1	48504.8	30540.0	27446.5
COX17	0.0	56.94	147.62	153.47	123.15	72.66	0.0	68.69	107.05	121.52	114.31	76.57	38.67	50.64
HNRNPD	6567.06	14773.1	22048.3	22377.1	19499.8	12816.2	5560.12	23283.1	22668.0	42357.3	42850.4	59410.6	45405.2	49144.5
